source,target,relationship,weight
AMDphreak,microsoft/vscode-copilot-release#7075,opened_issue,1
AMLSMike,microsoft/vscode-copilot-release#2678,commented_on_issue,3
ANTVirGEO,openai/codex#22220,opened_issue,1
ANogin,anthropics/claude-code#62109,opened_issue,1
ARCJ137442,anthropics/claude-code#34835,commented_on_issue,1
ARJ999,openai/codex#24347,opened_issue,1
ASDrew94,anthropics/claude-code#38335,commented_on_issue,1
AZVGBND,anthropics/claude-code#50567,commented_on_issue,1
Aassmodeuss,microsoft/vscode-copilot-release#11876,commented_on_issue,1
AbdeslemSmahi,anthropics/claude-code#38335,commented_on_issue,1
AbdoKnbGit,anthropics/claude-code#29922,commented_on_issue,2
AbdulBasitNawaz,openai/codex#20161,commented_on_issue,1
AbdullahGoma,openai/codex#20161,commented_on_issue,1
AbdullahRafeeqAdam,openai/codex#20320,commented_on_issue,1
AbdwGTK,microsoft/vscode-copilot-release#13583,commented_on_issue,1
AbeHamade,openai/codex#18960,commented_on_issue,1
AbhiSkillencio,anthropics/claude-code#42121,commented_on_issue,1
AbhiSkillencio,anthropics/claude-code#42121,opened_issue,1
Abhishekkv99,anthropics/claude-code#17432,commented_on_issue,1
Absiinator,microsoft/vscode-copilot-release#5559,commented_on_issue,1
AbsolutelyFreeWeb,microsoft/vscode-copilot-release#3927,commented_on_issue,1
AceFire2014,anthropics/claude-code#38335,commented_on_issue,2
Adapt2Survibe,anthropics/claude-code#62108,opened_issue,1
AdelEnazi1117,openai/codex#20598,commented_on_issue,1
Adi1231234,anthropics/claude-code#38335,commented_on_issue,1
AdiHuang,openai/codex#24402,opened_issue,1
AdityaN17190,openai/codex#15618,commented_on_issue,1
AdrianFlack,anthropics/claude-code#38335,commented_on_issue,1
Aesthermortis,openai/codex#13018,commented_on_issue,3
Aetherdan,anthropics/claude-code#37323,commented_on_issue,1
AgainPsychoX,microsoft/vscode-copilot-release#3673,commented_on_issue,1
Aggeloudis,anthropics/claude-code#13354,commented_on_issue,1
AghastyGD,microsoft/vscode-copilot-release#991,commented_on_issue,1
AgiMaulana,anthropics/claude-code#38335,commented_on_issue,6
AhmadTheTech,openai/codex#20320,commented_on_issue,1
Ahmet-Dedeler,openai/codex#18553,opened_issue,1
Ahmet-Dedeler,openai/codex#3962,commented_on_issue,1
Ahsan911-bey,openai/codex#20161,commented_on_issue,4
Ahsan911-bey,openai/codex#20320,commented_on_issue,1
Aj-Networks,anthropics/claude-code#32186,commented_on_issue,1
AjayBabuGorantla,microsoft/vscode-copilot-release#14128,opened_issue,1
AjdinAhmagic83,microsoft/vscode-copilot-release#14073,opened_issue,1
Akash0463,openai/codex#12708,commented_on_issue,1
Akhil1sharma,microsoft/vscode-copilot-release#14162,commented_on_issue,1
Akkikens,anthropics/claude-code#17432,commented_on_issue,1
Akshay-Mahadeva,anthropics/claude-code#17432,commented_on_issue,1
Alain1405,microsoft/vscode-copilot-release#14124,opened_issue,1
Alan01252,openai/codex#7071,commented_on_issue,1
Alek2077,openai/codex#11626,commented_on_issue,5
Alek2077,openai/codex#11626,opened_issue,1
AlexBa,anthropics/claude-code#27302,commented_on_issue,1
AlexanderBich,openai/codex#9544,commented_on_issue,1
AlexanderBolshakov,anthropics/claude-code#48550,commented_on_issue,2
AlexanderBolshakov,anthropics/claude-code#48550,opened_issue,1
Alexandre-gommez,anthropics/claude-code#27302,commented_on_issue,1
AlexiaChen,microsoft/vscode-copilot-release#554,commented_on_issue,4
AlfaroMiguel,anthropics/claude-code#54204,commented_on_issue,1
Algin-Anto,anthropics/claude-code#17432,commented_on_issue,1
Alien-AV,openai/codex#24198,opened_issue,1
Alien-AV,openai/codex#24201,commented_on_issue,1
Alien-AV,openai/codex#24201,opened_issue,1
AlienFrostSoftware,microsoft/vscode-copilot-release#991,commented_on_issue,1
Allmight97,openai/codex#23296,commented_on_issue,1
AlpaMac,microsoft/vscode-copilot-release#5573,opened_issue,1
Alpaca233114514,openai/codex#22428,commented_on_issue,1
Alpaca233114514,openai/codex#24313,commented_on_issue,1
Alpaca233114514,openai/codex#24313,opened_issue,1
AlphaActual,microsoft/vscode-copilot-release#13593,commented_on_issue,2
AlphaJuliettOmega,microsoft/vscode-copilot-release#624,commented_on_issue,1
Altair288,microsoft/vscode-copilot-release#9099,commented_on_issue,1
Alxp1,openai/codex#22051,commented_on_issue,1
AminDhouib,openai/codex#3962,commented_on_issue,1
AmirTlinov,openai/codex#8310,commented_on_issue,1
AmmarHaddadi,microsoft/vscode-copilot-release#2643,commented_on_issue,1
AmmonWar,microsoft/vscode-copilot-release#9803,opened_issue,1
Amnesiac9,anthropics/claude-code#61021,opened_issue,1
AnYu798,openai/codex#23848,commented_on_issue,1
AnanyaGrover1,anthropics/claude-code#17432,commented_on_issue,1
AndreIntelas,openai/codex#24093,opened_issue,1
AndresGB1,anthropics/claude-code#38335,commented_on_issue,1
AndrewLaganaro,microsoft/vscode-copilot-release#991,commented_on_issue,2
AndreyHa,microsoft/vscode-copilot-release#7640,commented_on_issue,1
Anel71,microsoft/vscode-copilot-release#14122,opened_issue,1
AnnNulee,anthropics/claude-code#38335,commented_on_issue,1
AntonDevia,openai/codex#20161,commented_on_issue,2
AntonOfTheWoods,microsoft/vscode-copilot-release#6867,commented_on_issue,4
AntonioZC666,microsoft/vscode-copilot-release#7052,commented_on_issue,1
AnxietyYoungPoet,openai/codex#9544,commented_on_issue,3
AprildreamMI,microsoft/vscode-copilot-release#7518,commented_on_issue,1
Araxeus,microsoft/vscode-copilot-release#624,commented_on_issue,1
Archis03007,microsoft/vscode-copilot-release#2868,commented_on_issue,1
Arcnor,openai/codex#13463,commented_on_issue,1
ArefAz,microsoft/vscode-copilot-release#991,commented_on_issue,1
Arfooo,anthropics/claude-code#38335,commented_on_issue,1
Arison7,anthropics/claude-code#44585,commented_on_issue,1
ArkNill,anthropics/claude-code#38335,commented_on_issue,9
ArkNill,anthropics/claude-code#41550,commented_on_issue,4
ArkNill,anthropics/claude-code#41640,commented_on_issue,3
ArkNill,anthropics/claude-code#41674,commented_on_issue,5
ArkNill,anthropics/claude-code#41749,commented_on_issue,4
ArkNill,anthropics/claude-code#41854,commented_on_issue,3
ArkNill,anthropics/claude-code#42277,commented_on_issue,4
ArkNill,anthropics/claude-code#42414,commented_on_issue,2
ArtemisAI,anthropics/claude-code#38335,commented_on_issue,1
AshokModhave143,anthropics/claude-code#38335,commented_on_issue,1
Ashu-2,anthropics/claude-code#17432,commented_on_issue,1
Askir,microsoft/vscode-copilot-release#624,commented_on_issue,1
Assassin-1234,openai/codex#10823,commented_on_issue,1
Astrisle,openai/codex#22700,commented_on_issue,1
Astro-Han,anthropics/claude-code#13354,commented_on_issue,1
Astro-Han,anthropics/claude-code#38335,commented_on_issue,1
AtakanAksal,microsoft/vscode-copilot-release#7640,commented_on_issue,1
Ausama0,anthropics/claude-code#54204,commented_on_issue,1
Avz3il,openai/codex#20161,commented_on_issue,2
AwaisKhan-01,microsoft/vscode-copilot-release#14133,opened_issue,1
AyRickk,microsoft/vscode-copilot-release#7569,opened_issue,1
Ayash13,microsoft/vscode-copilot-release#10245,opened_issue,1
AyinMostima,openai/codex#6020,commented_on_issue,1
Ayra47,openai/codex#20161,commented_on_issue,5
AyushGokani,anthropics/claude-code#57161,opened_issue,1
AzureDominus,openai/codex#23403,commented_on_issue,1
BGC-J,openai/codex#22428,commented_on_issue,1
BGCK99,openai/codex#20320,commented_on_issue,1
BIGWOO,openai/codex#22696,commented_on_issue,1
BLumia,microsoft/vscode-copilot-release#7518,commented_on_issue,1
BMittem,microsoft/vscode-copilot-release#7630,opened_issue,1
BTDluqiang,microsoft/vscode-copilot-release#14171,opened_issue,1
BVPrem,anthropics/claude-code#17432,commented_on_issue,1
Baggydawg,anthropics/claude-code#48679,opened_issue,1
Balakrishnan000,anthropics/claude-code#17432,commented_on_issue,1
BalasubramaniM,microsoft/vscode-copilot-release#14033,opened_issue,1
Baleka13,anthropics/claude-code#48526,opened_issue,1
BarkingPuppy,microsoft/vscode-copilot-release#11236,commented_on_issue,1
BarkingPuppy,microsoft/vscode-copilot-release#11236,opened_issue,1
BarnNorth,anthropics/claude-code#27302,commented_on_issue,1
BarryEvan,microsoft/vscode-copilot-release#991,commented_on_issue,1
BartCodes,openai/codex#13478,opened_issue,1
Basim108,anthropics/claude-code#53442,commented_on_issue,1
Benjamin-Dobell,openai/codex#23794,commented_on_issue,1
BenyominMandel,openai/codex#2901,opened_issue,1
Bergmam,microsoft/vscode-copilot-release#13062,commented_on_issue,1
BertrandFritsch,openai/codex#10823,commented_on_issue,1
BetterThanBoonz,anthropics/claude-code#38335,commented_on_issue,1
Bierbuikje25,anthropics/claude-code#49450,opened_issue,1
Bikatr7,microsoft/vscode-copilot-release#875,commented_on_issue,4
BilakshanP,anthropics/claude-code#17432,commented_on_issue,4
BinaryOutlook,openai/codex#14985,commented_on_issue,2
BinaryOutlook,openai/codex#14985,opened_issue,1
BinhTran666,openai/codex#20161,commented_on_issue,3
Bininaaa,openai/codex#20161,commented_on_issue,1
Bix2llets,microsoft/vscode-copilot-release#9766,commented_on_issue,1
Bix2llets,microsoft/vscode-copilot-release#9766,opened_issue,1
Bizuayeu,anthropics/claude-code#49268,commented_on_issue,1
Blackclaws,anthropics/claude-code#2805,commented_on_issue,2
BlakeBuildExpo,microsoft/vscode-copilot-release#12709,opened_issue,1
BlanckCarbon,anthropics/claude-code#46415,commented_on_issue,1
BlanckCarbon,anthropics/claude-code#46415,opened_issue,1
Bleepling,openai/codex#19417,commented_on_issue,1
BobbyBishopCodes,openai/codex#18341,commented_on_issue,1
BogdanAlRa,anthropics/claude-code#47547,opened_issue,1
BolinoIR,openai/codex#20161,commented_on_issue,6
BookmDan,microsoft/vscode-copilot-release#8495,commented_on_issue,1
BorisMolch,openai/codex#11626,commented_on_issue,3
BowTiedCrocodile,openai/codex#3962,commented_on_issue,1
BradBettig,microsoft/vscode-copilot-release#7518,commented_on_issue,1
BrajBliss,microsoft/vscode-copilot-release#991,commented_on_issue,1
Branden-hub,microsoft/vscode-copilot-release#9264,commented_on_issue,8
Branden-hub,microsoft/vscode-copilot-release#9264,opened_issue,1
Braxbro,anthropics/claude-code#49268,commented_on_issue,1
Bryan-Meier,microsoft/vscode-copilot-release#3927,commented_on_issue,1
BtcCrush,openai/codex#18960,commented_on_issue,1
BulatReznik,openai/codex#20161,commented_on_issue,1
Bulua,openai/codex#14297,commented_on_issue,1
BurtHarris,microsoft/vscode-copilot-release#6841,commented_on_issue,1
BusyPC,anthropics/claude-code#17432,commented_on_issue,1
C-a-r-r-y,openai/codex#14297,commented_on_issue,1
CBZ199671,openai/codex#14860,commented_on_issue,2
CIO-DOTNET,openai/codex#16307,commented_on_issue,2
CIO-DOTNET,openai/codex#16307,opened_issue,1
CMarcher,openai/codex#24386,opened_issue,1
CNSeniorious000,microsoft/vscode-copilot-release#7518,commented_on_issue,1
CSchulz,openai/codex#6020,commented_on_issue,1
CUIT-fenghuiyu,openai/codex#21700,commented_on_issue,1
CVK42,anthropics/claude-code#37323,commented_on_issue,1
CaesarC,openai/codex#18960,commented_on_issue,1
CaixyPromise,openai/codex#9046,commented_on_issue,1
CaldwellOne,openai/codex#11014,commented_on_issue,1
Camj78,anthropics/claude-code#38335,commented_on_issue,8
Cao-Viet-Hoang,microsoft/vscode-copilot-release#11419,commented_on_issue,3
Cao-Viet-Hoang,microsoft/vscode-copilot-release#11419,opened_issue,1
CarlosFMeneses,anthropics/claude-code#62100,opened_issue,1
Carmezim,openai/codex#21653,commented_on_issue,1
CarosYM,anthropics/claude-code#45579,opened_issue,1
CarryJone,openai/codex#23865,opened_issue,1
CarzyNick,microsoft/vscode-copilot-release#14102,opened_issue,1
CaseyLabs,openai/codex#17529,commented_on_issue,1
CatSu-OSM,openai/codex#24267,opened_issue,1
Catofood,microsoft/vscode-copilot-release#7640,commented_on_issue,1
CatsMiaow,microsoft/vscode-copilot-release#624,commented_on_issue,1
CatsMiaow,microsoft/vscode-copilot-release#991,commented_on_issue,1
CausticCatastrophe,anthropics/claude-code#62094,opened_issue,1
Cccceb,openai/codex#22486,commented_on_issue,1
Cccceb,openai/codex#24332,commented_on_issue,1
Cccceb,openai/codex#24332,opened_issue,1
Cerial1,anthropics/claude-code#38335,commented_on_issue,2
Cerveus,anthropics/claude-code#47108,opened_issue,1
Chahat-Infineon,microsoft/vscode-copilot-release#11027,commented_on_issue,3
Chahat-Infineon,microsoft/vscode-copilot-release#11027,opened_issue,1
ChangeFWorld,openai/codex#18993,commented_on_issue,1
ChaoQiezi,openai/codex#14297,commented_on_issue,1
CharlesIC,openai/codex#13018,opened_issue,1
CharlesKahn,anthropics/claude-code#62156,opened_issue,1
Charm8er,anthropics/claude-code#41640,opened_issue,1
CherryDT,microsoft/vscode-copilot-release#14053,commented_on_issue,2
Chetic,anthropics/claude-code#27302,commented_on_issue,1
Chi-Brian,anthropics/claude-code#54314,commented_on_issue,1
ChivPoint,anthropics/claude-code#37951,commented_on_issue,1
ChocolatePancake,openai/codex#16052,commented_on_issue,1
ChriferW,anthropics/claude-code#42743,opened_issue,1
ChrisA95G,microsoft/vscode-copilot-release#991,commented_on_issue,1
ChrisC156,anthropics/claude-code#61734,commented_on_issue,6
ChrisC156,anthropics/claude-code#61734,opened_issue,1
ChrisDevNc,anthropics/claude-code#45297,commented_on_issue,1
Chriss4123,microsoft/vscode-copilot-release#6778,commented_on_issue,1
Christoway,microsoft/vscode-copilot-release#12595,commented_on_issue,3
Christoway,microsoft/vscode-copilot-release#12595,opened_issue,1
Chuangye-Wang,openai/codex#23031,commented_on_issue,2
Chudesnov,microsoft/vscode-copilot-release#14174,commented_on_issue,1
Chudesnov,microsoft/vscode-copilot-release#14174,opened_issue,1
CiberNin,anthropics/claude-code#22711,commented_on_issue,1
Ckbhatia,anthropics/claude-code#17432,commented_on_issue,4
ClaireGz,anthropics/claude-code#27302,commented_on_issue,1
Cleroth,openai/codex#11678,commented_on_issue,9
Cleroth,openai/codex#11678,opened_issue,1
ClintHuijbers,anthropics/claude-code#48725,commented_on_issue,4
CloserClaus,anthropics/claude-code#17432,commented_on_issue,1
Co-Messi,anthropics/claude-code#42414,opened_issue,1
Co-Messi,openai/codex#18056,opened_issue,1
CodeAnimal,microsoft/vscode-copilot-release#14125,commented_on_issue,1
CodeBreakers110,microsoft/vscode-copilot-release#6884,commented_on_issue,4
CodeForcer,anthropics/claude-code#27302,commented_on_issue,1
Codename-404,anthropics/claude-code#38335,commented_on_issue,4
CodesHour,anthropics/claude-code#17432,commented_on_issue,1
Codevaried,microsoft/vscode-copilot-release#991,commented_on_issue,1
Contextualist,openai/codex#24278,opened_issue,1
Cowardor,anthropics/claude-code#49111,opened_issue,1
Crayder,microsoft/vscode-copilot-release#13039,commented_on_issue,1
Cretezy,openai/codex#2901,commented_on_issue,1
CristopherVidalMachado,anthropics/claude-code#27302,commented_on_issue,1
Crypto69,anthropics/claude-code#48477,commented_on_issue,1
Crypto69,anthropics/claude-code#48477,opened_issue,1
CryptoJones,anthropics/claude-code#62091,commented_on_issue,2
CryptoJones,anthropics/claude-code#62091,opened_issue,1
Ctariy,anthropics/claude-code#59915,commented_on_issue,1
Cufoon,openai/codex#8784,commented_on_issue,1
CultureTechIO,anthropics/claude-code#38335,commented_on_issue,1
Curse9,microsoft/vscode-copilot-release#12150,commented_on_issue,1
Curse9,microsoft/vscode-copilot-release#12150,opened_issue,1
CyanSalt,microsoft/vscode-copilot-release#7518,commented_on_issue,1
CyanideX,microsoft/vscode-copilot-release#12875,commented_on_issue,1
DGM1976,anthropics/claude-code#38335,commented_on_issue,1
DGideas,microsoft/vscode-copilot-release#7518,commented_on_issue,4
DND711,anthropics/claude-code#17432,commented_on_issue,1
DQNEO,anthropics/claude-code#48548,opened_issue,1
Daetha,microsoft/vscode-copilot-release#12854,commented_on_issue,1
Daetha,microsoft/vscode-copilot-release#12854,opened_issue,1
DanKaplanSES,openai/codex#23794,commented_on_issue,2
DanKingCGI,microsoft/vscode-copilot-release#13062,commented_on_issue,1
DanL20,anthropics/claude-code#38335,commented_on_issue,1
DanOrmerod,microsoft/vscode-copilot-release#13062,commented_on_issue,1
DanThorneJ,anthropics/claude-code#50842,commented_on_issue,1
DanTup,microsoft/vscode-copilot-release#12566,opened_issue,1
DanTup,microsoft/vscode-copilot-release#12652,commented_on_issue,1
Daniel-Santiago-Acosta-1013,openai/codex#8745,commented_on_issue,1
Daniel-Santiago-Acosta-1013,openai/codex#8745,opened_issue,1
DanielFung-CTG,microsoft/vscode-copilot-release#7640,commented_on_issue,1
DanielJD1216,openai/codex#10823,commented_on_issue,1
DanielKatz67,anthropics/claude-code#50567,commented_on_issue,2
Danielvandervelden,anthropics/claude-code#38335,commented_on_issue,1
DannyKerr,anthropics/claude-code#38335,commented_on_issue,1
Danyal-Zahid,openai/codex#23195,commented_on_issue,1
DapsterDan,microsoft/vscode-copilot-release#624,commented_on_issue,1
Darkrift411,microsoft/vscode-copilot-release#5738,commented_on_issue,3
Daschi1,openai/codex#23984,commented_on_issue,3
DataDrivenAngel,anthropics/claude-code#16288,commented_on_issue,2
DatasoftSolutionsNet,microsoft/vscode-copilot-release#3001,opened_issue,1
DaveFlynn,openai/codex#12564,commented_on_issue,2
DaveRodman,anthropics/claude-code#62136,opened_issue,1
DavidJJ,microsoft/vscode-copilot-release#8495,commented_on_issue,1
DavidMetcalfe,microsoft/vscode-copilot-release#3064,opened_issue,1
Dawe000,anthropics/claude-code#27302,commented_on_issue,1
DeJayDev,anthropics/claude-code#59915,commented_on_issue,1
DeanHH,openai/codex#18341,commented_on_issue,1
DeanHH,openai/codex#18404,commented_on_issue,1
DearBobby9,openai/codex#20833,opened_issue,1
DeepYates,anthropics/claude-code#15379,commented_on_issue,1
Deltron2020,anthropics/claude-code#61734,commented_on_issue,1
DennyArcher3,anthropics/claude-code#41749,opened_issue,1
DennyLove999,microsoft/vscode-copilot-release#14052,opened_issue,1
Deno2026,openai/codex#20517,commented_on_issue,1
Design-01,microsoft/vscode-copilot-release#12425,opened_issue,1
Dev-Salem,microsoft/vscode-copilot-release#6778,commented_on_issue,2
DevDengChao,openai/codex#21700,opened_issue,1
DevMahmoud10,openai/codex#20161,commented_on_issue,1
Devil-SX,openai/codex#13463,commented_on_issue,1
Dhaarok,openai/codex#20161,commented_on_issue,2
Dhanunjaya-Elluri,anthropics/claude-code#13354,commented_on_issue,1
Dhi13man,openai/codex#20841,commented_on_issue,1
DigantVora,anthropics/claude-code#17432,commented_on_issue,1
DivyaRatanSF,anthropics/claude-code#17432,commented_on_issue,1
DivyanshC,anthropics/claude-code#17432,commented_on_issue,1
Dknightsure,openai/codex#22696,commented_on_issue,1
Dobypeti,microsoft/vscode-copilot-release#12749,commented_on_issue,1
DocMoebiuz,microsoft/vscode-copilot-release#13039,commented_on_issue,1
Docat0209,openai/codex#13746,commented_on_issue,1
DonBav,anthropics/claude-code#38335,commented_on_issue,1
DonJayamanne,microsoft/vscode-copilot-release#4613,commented_on_issue,1
DonJayamanne,microsoft/vscode-copilot-release#7410,commented_on_issue,1
DonJayamanne,microsoft/vscode-copilot-release#7512,commented_on_issue,1
DonJayamanne,microsoft/vscode-copilot-release#7630,commented_on_issue,1
Donyat,anthropics/claude-code#38335,commented_on_issue,1
Dpollock1287,anthropics/claude-code#45175,commented_on_issue,1
Dpollock1287,anthropics/claude-code#45175,opened_issue,1
Dragon-zg,openai/codex#18341,commented_on_issue,1
DreamZzz,openai/codex#24389,opened_issue,1
Dtvance2002,anthropics/claude-code#45297,commented_on_issue,1
DucTran2511,openai/codex#20161,commented_on_issue,1
Duka-RSI,anthropics/claude-code#62102,commented_on_issue,1
Dumbris,microsoft/vscode-copilot-release#14096,commented_on_issue,1
Dylanyz,anthropics/claude-code#27302,commented_on_issue,1
EBoiSha,microsoft/vscode-copilot-release#7640,commented_on_issue,1
EarthmanWeb,anthropics/claude-code#18547,commented_on_issue,1
EarthmanWeb,anthropics/claude-code#18547,opened_issue,1
Eclips4,openai/codex#11678,commented_on_issue,1
EdsonRosales,microsoft/vscode-copilot-release#10885,opened_issue,1
EdwinAlmendras,openai/codex#20161,commented_on_issue,1
Efistoffeles,microsoft/vscode-copilot-release#11161,commented_on_issue,1
Efistoffeles,microsoft/vscode-copilot-release#11161,opened_issue,1
Efjkq,microsoft/vscode-copilot-release#7518,commented_on_issue,1
Ehomey,anthropics/claude-code#38335,commented_on_issue,3
Ekana8,openai/codex#24412,opened_issue,1
ElRobaMichis,openai/codex#24086,commented_on_issue,1
Electro-Dig,openai/codex#22851,commented_on_issue,1
Electro-Dig,openai/codex#22851,opened_issue,1
EltayApps,openai/codex#19504,commented_on_issue,2
ElvanParthasarathy,anthropics/claude-code#17432,commented_on_issue,1
Elvincth,microsoft/vscode-copilot-release#9099,commented_on_issue,7
EmilioMoreno,microsoft/vscode-copilot-release#13593,commented_on_issue,1
EmundoT,microsoft/vscode-copilot-release#14158,opened_issue,1
Endrju88,microsoft/vscode-copilot-release#14040,opened_issue,1
EnzanNoMetsuke,openai/codex#18341,commented_on_issue,1
EpharGy,microsoft/vscode-copilot-release#12565,commented_on_issue,1
ErcinDedeoglu,microsoft/vscode-copilot-release#7518,commented_on_issue,1
Eric12josanto,microsoft/vscode-copilot-release#12118,commented_on_issue,1
Eric12josanto,microsoft/vscode-copilot-release#12118,opened_issue,1
EtherealBloom,openai/codex#21700,commented_on_issue,1
Etsija,openai/codex#2901,commented_on_issue,1
EvanNotFound,openai/codex#10867,commented_on_issue,1
EveGoodEvening,openai/codex#21653,opened_issue,1
EwoudDG,microsoft/vscode-copilot-release#14146,opened_issue,1
Eyalm321,microsoft/vscode-copilot-release#3927,commented_on_issue,1
F4CTE,anthropics/claude-code#42743,commented_on_issue,1
FBakkensen,microsoft/vscode-copilot-release#14065,opened_issue,1
FBakkensen,microsoft/vscode-copilot-release#14117,opened_issue,1
FFDispatch,anthropics/claude-code#38335,commented_on_issue,1
FMarcelFC,anthropics/claude-code#38335,commented_on_issue,3
FTSBrand,anthropics/claude-code#59248,commented_on_issue,1
FTSBrand,anthropics/claude-code#59248,opened_issue,1
Fabioni,microsoft/vscode-copilot-release#624,commented_on_issue,2
FadiBadarni,anthropics/claude-code#38335,commented_on_issue,1
FallenLeave91,openai/codex#20161,commented_on_issue,1
FallingSakura,openai/codex#21640,commented_on_issue,1
FasterBranch527,openai/codex#20161,commented_on_issue,1
Fatbouy,anthropics/claude-code#17432,commented_on_issue,1
Fecnar,anthropics/claude-code#17432,commented_on_issue,1
FelipeLujan,microsoft/vscode-copilot-release#8330,commented_on_issue,1
FelixGrafschmidt,microsoft/vscode-copilot-release#6867,commented_on_issue,1
FelixL12,anthropics/claude-code#27302,commented_on_issue,1
FengYeeLx,openai/codex#14860,commented_on_issue,3
Firdavs9512,anthropics/claude-code#38335,commented_on_issue,1
FixingInProd,openai/codex#14860,commented_on_issue,2
Flagship-30,anthropics/claude-code#17432,commented_on_issue,1
Flashhhhhhzj,openai/codex#21501,commented_on_issue,1
Flashhhhhhzj,openai/codex#21501,opened_issue,1
Fnthawar,openai/codex#10823,commented_on_issue,1
Forux,openai/codex#18960,commented_on_issue,1
FranArjona,anthropics/claude-code#53442,commented_on_issue,1
FrancescoUKin,microsoft/vscode-copilot-release#7410,opened_issue,1
FranciscoHoff34,anthropics/claude-code#57751,opened_issue,1
FrankLedo,anthropics/claude-code#47685,commented_on_issue,1
FrankLedo,anthropics/claude-code#47685,opened_issue,1
FrankZhangRp,openai/codex#21128,commented_on_issue,1
FreeFlowVFX,openai/codex#10823,commented_on_issue,1
FreedomBen,anthropics/claude-code#12705,commented_on_issue,1
Frulfump,microsoft/vscode-copilot-release#11758,commented_on_issue,1
Frulfump,microsoft/vscode-copilot-release#11758,opened_issue,1
Frulfump,openai/codex#24303,opened_issue,1
Frulfump,openai/codex#24352,opened_issue,1
Func86,openai/codex#24281,opened_issue,1
