sourceQuery,searchRank,storyKey,storyId,title,text,author,score,createdAt,url,hnUrl,commentCount,collectedCommentCount
AI software developer productivity,1,hn_41505157,41505157,The Impact of Generative AI on Software Developer Productivity,,algoghostf,1,2024-09-10,https://medium.com/@AhmedF/the-real-impact-of-generative-ai-on-software-developer-productivity-evidence-from-field-686e3a36138a,https://news.ycombinator.com/item?id=41505157,0,0
AI software developer productivity,2,hn_46534402,46534402,"AI hampered productivity of software developers,m",,msolujic,5,2026-01-07,https://fortune.com/article/does-ai-increase-workplace-productivity-experiment-software-developers-task-took-longer/,https://news.ycombinator.com/item?id=46534402,2,2
AI software developer productivity,3,hn_19309959,19309959,What Predicts Software Developers’ Productivity?,,Irishsteve,1,2019-03-05,https://ai.google/research/pubs/pub47853,https://news.ycombinator.com/item?id=19309959,0,0
AI software developer productivity,4,hn_45761979,45761979,Ask HN: LLMs enhance productivity so why don't we have more/better software?,"Lifelong AI skeptic now turned LLM proponent here. I&#x27;m almost in the Adrian Cockroft&#x2F;Joe Magerramov camp: for me today&#x27;s LLMs are by far the most productivity-increasing tool for software development since the compiler. Yes I&#x27;m so old that I remember making software without a compiler. Reinforcing my non-koolaid-consuming cred: I&#x27;ve been using LLM tools to write programs I&#x27;d never have time to write, find bugs I&#x27;d have taken much longer to track down myself, understand the design of large complex codebases I&#x27;d have previously left as mystery-meat. The new tools are helping me work through the seemingly endless pile of stuff that always needed to be done but never got done.<p>Although the media narrative and previous HN discussions focus on developer layoffs supposedly due to AI adoption, I&#x27;m wondering about the inverse perspective. Since LLM tools improve software developer productivity significantly, why haven&#x27;t we seen much better software? Why haven&#x27;t we seen startups making new useful applications? Is there something about the wider business context that precludes improved productivity being applied to increase capacity and&#x2F;or improve quality? After all when Walmart discovered how to optimize retail they didn&#x27;t use that capability to make one super-efficient store. They built stores everywhere. Are we somehow stuck in some crappyness equilibrium where there&#x27;s no overall benefit to improving software. Was that always the case but we never realized because by chance we had just enough developers to get by?",dboreham,3,2025-10-30,,https://news.ycombinator.com/item?id=45761979,5,4
AI software developer productivity,5,hn_46510980,46510980,Experienced software developers assumed AI would save them a chunk of time,,palad1n,6,2026-01-06,https://fortune.com/article/does-ai-increase-workplace-productivity-experiment-software-developers-task-took-longer/,https://news.ycombinator.com/item?id=46510980,5,1
Claude Code,1,hn_43163011,43163011,Claude 3.7 Sonnet and Claude Code,,bakugo,2127,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,https://news.ycombinator.com/item?id=43163011,963,30
Claude Code,2,hn_47584540,47584540,Claude Code's source code has been leaked via a map file in their NPM registry,"<a href=""https:&#x2F;&#x2F;xcancel.com&#x2F;Fried_rice&#x2F;status&#x2F;2038894956459290963"" rel=""nofollow"">https:&#x2F;&#x2F;xcancel.com&#x2F;Fried_rice&#x2F;status&#x2F;2038894956459290963</a><p>Related ongoing thread: <i>The Claude Code Source Leak: fake tools, frustration regexes, undercover mode</i> - <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=47586778"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=47586778</a>",treexs,2095,2026-03-31,https://twitter.com/Fried_rice/status/2038894956459290963,https://news.ycombinator.com/item?id=47584540,1022,30
Claude Code,3,hn_47586778,47586778,"The Claude Code Source Leak: fake tools, frustration regexes, undercover mode","Related ongoing thread: <i>Claude Code&#x27;s source code has been leaked via a map file in their NPM registry</i> - <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=47584540"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=47584540</a><p>Also related: <a href=""https:&#x2F;&#x2F;www.ccleaks.com"" rel=""nofollow"">https:&#x2F;&#x2F;www.ccleaks.com</a>",alex000kim,1376,2026-03-31,https://alex000kim.com/posts/2026-03-31-claude-code-source-leak/,https://news.ycombinator.com/item?id=47586778,578,30
Claude Code,4,hn_47660925,47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,,StanAngeloff,1364,2026-04-06,https://github.com/anthropics/claude-code/issues/42796,https://news.ycombinator.com/item?id=47660925,753,30
Claude Code,5,hn_47963204,47963204,"Claude Code refuses requests or charges extra if your commits mention ""OpenClaw""","<a href=""https:&#x2F;&#x2F;xcancel.com&#x2F;theo&#x2F;status&#x2F;2049645973350363168"" rel=""nofollow"">https:&#x2F;&#x2F;xcancel.com&#x2F;theo&#x2F;status&#x2F;2049645973350363168</a>",elmean,1349,2026-04-30,https://twitter.com/theo/status/2049645973350363168,https://news.ycombinator.com/item?id=47963204,720,30
Claude Code,6,hn_46593022,46593022,Cowork: Claude Code for the rest of your work,,adocomplete,1298,2026-01-12,https://claude.com/blog/cowork-research-preview,https://news.ycombinator.com/item?id=46593022,565,30
Claude Code,7,hn_47597085,47597085,Claude Code Unpacked : A visual guide,"Related ongoing threads:<p><i>The Claude Code Source Leak: fake tools, frustration regexes, undercover mode</i> - <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=47586778"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=47586778</a> - March 2026 (406 comments)<p><i>Claude Code&#x27;s source code has been leaked via a map file in their NPM registry</i> - <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=47584540"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=47584540</a> - March 2026 (956 comments)<p>Also related: <a href=""https:&#x2F;&#x2F;www.ccleaks.com"" rel=""nofollow"">https:&#x2F;&#x2F;www.ccleaks.com</a>",autocracy101,1128,2026-04-01,https://ccunpacked.dev/,https://news.ycombinator.com/item?id=47597085,400,30
Claude Code,8,hn_47633396,47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,"Received the following email from Anthropic:<p>Hi,<p>Starting April 4 at 12pm PT &#x2F; 8pm BST, you’ll no longer be able to use your Claude subscription limits for third-party harnesses including OpenClaw. You can still use them with your Claude account, but they will require extra usage, a pay-as-you-go option billed separately from your subscription.<p>Your subscription still covers all Claude products, including Claude Code and Claude Cowork. To keep using third-party harnesses with your Claude login, turn on extra usage for your account. This will be enforced April 4 starting with OpenClaw, but this policy applies to all third-party harnesses and will be rolled out to more shortly (read more).<p>To make the transition easier, we’re offering a one-time credit for extra usage equal to your monthly subscription price. Redeem your credit by April 17. We’re also introducing discounts when you pre-purchase bundles of extra usage (up to 30%).<p>We’ve been working to manage demand across the board, but these tools put an outsized strain on our systems. Capacity is a resource we manage carefully and we need to prioritize our customers using our core products. You will receive another email from us tomorrow where you’ll have the ability to refund your subscription if you prefer.",firloop,1099,2026-04-03,,https://news.ycombinator.com/item?id=47633396,827,30
Claude Code,9,hn_47282777,47282777,Tell HN: I'm 60 years old. Claude Code has re-ignited a passion,"I’m ready to retire. In my younger days, I remember a few pivotal moments for me as a young nerd. Active Server Pages. COM components. VB6. I know these are laughable today but back then it was the greatest thing in the world to be able to call server-side commands. It kept me up nights trying to absorb it all. Fast forward decades and Claude Code is giving me that same energy and drive. I love it. It feels like it did back then. I’m chasing the midnight hour and not getting any sleep.",shannoncc,1086,2026-03-07,,https://news.ycombinator.com/item?id=47282777,988,30
Claude Code,10,hn_46978710,46978710,Claude Code is being dumbed down?,,WXLCKNO,1085,2026-02-11,https://symmetrybreak.ing/blog/claude-code-is-being-dumbed-down/,https://news.ycombinator.com/item?id=46978710,701,30
Claude Code,11,hn_46985151,46985151,Warcraft III Peon Voice Notifications for Claude Code,,doppp,1006,2026-02-12,https://github.com/tonyyont/peon-ping,https://news.ycombinator.com/item?id=46985151,301,30
Claude Code,12,hn_47106686,47106686,How I use Claude Code: Separation of planning and execution,,vinhnx,976,2026-02-22,https://boristane.com/blog/how-i-use-claude-code/,https://news.ycombinator.com/item?id=47106686,591,30
Claude Code,13,hn_47878905,47878905,An update on recent Claude Code quality reports,,mfiguiere,942,2026-04-23,https://www.anthropic.com/engineering/april-23-postmortem,https://news.ycombinator.com/item?id=47878905,732,30
Claude Code,14,hn_45163362,45163362,Using Claude Code to modernize a 25-year-old kernel driver,,dmitrybrant,929,2025-09-07,https://dmitrybrant.com/2025/09/07/using-claude-code-to-modernize-a-25-year-old-kernel-driver,https://news.ycombinator.com/item?id=45163362,318,30
Claude Code,15,hn_44864185,44864185,Claude Code is all you need,,sixhobbits,851,2025-08-11,https://dwyer.co.za/static/claude-code-is-all-you-need.html,https://news.ycombinator.com/item?id=44864185,504,30
Claude Code,16,hn_45416228,45416228,Claude Code 2.0,,polyrand,842,2025-09-29,https://www.npmjs.com/package/@anthropic-ai/claude-code,https://news.ycombinator.com/item?id=45416228,413,30
Claude Code,17,hn_46545620,46545620,How to code Claude Code in 200 lines of code,,nutellalover,816,2026-01-08,https://www.mihaileric.com/The-Emperor-Has-No-Clothes/,https://news.ycombinator.com/item?id=46545620,239,30
Claude Code,18,hn_44811567,44811567,Claude Code IDE integration for Emacs,,kgwgk,782,2025-08-06,https://github.com/manzaltu/claude-code-ide.el,https://news.ycombinator.com/item?id=44811567,266,30
Claude Code,19,hn_46810282,46810282,Claude Code daily benchmarks for degradation tracking,,qwesr123,760,2026-01-29,https://marginlab.ai/trackers/claude-code/,https://news.ycombinator.com/item?id=46810282,354,30
Claude Code,20,hn_47768133,47768133,Claude Code Routines,,matthieu_bl,720,2026-04-14,https://code.claude.com/docs/en/routines,https://news.ycombinator.com/item?id=47768133,413,30
OpenAI Codex,1,hn_43708025,43708025,OpenAI Codex CLI: Lightweight coding agent that runs in your terminal,,mfiguiere,516,2025-04-16,https://github.com/openai/codex,https://news.ycombinator.com/item?id=43708025,289,30
OpenAI Codex,2,hn_28191362,28191362,OpenAI's Codex sure knows a lot about HN [video],,tectonic,374,2021-08-15,https://www.youtube.com/watch?v=aneK0TUUAfA,https://news.ycombinator.com/item?id=28191362,105,21
OpenAI Codex,3,hn_28131745,28131745,OpenAI Codex,,e0m,372,2021-08-10,https://openai.com/blog/openai-codex/,https://news.ycombinator.com/item?id=28131745,174,23
OpenAI Codex,4,hn_44042070,44042070,OpenAI Codex hands-on review,,fragmede,171,2025-05-20,https://zackproser.com/blog/openai-codex-review,https://news.ycombinator.com/item?id=44042070,121,16
OpenAI Codex,5,hn_43754620,43754620,Show HN: Open Codex – OpenAI Codex CLI with open-source LLMs,"Hey HN,<p>I’ve built Open Codex, a fully local, open-source alternative to OpenAI’s Codex CLI.<p>My initial plan was to fork their project and extend it. I even started doing that. But it turned out their code has several leaky abstractions, which made it hard to override core behavior cleanly. Shortly after, OpenAI introduced breaking changes. Maintaining my customizations on top became increasingly difficult.<p>So I rewrote the whole thing from scratch using Python. My version is designed to support local LLMs.<p>Right now, it only works with phi-4-mini (GGUF) via lmstudio-community&#x2F;Phi-4-mini-instruct-GGUF, but I plan to support more models. Everything is structured to be extendable.<p>At the moment I only support single-shot mode, but I intend to add interactive (chat mode), function calling, and more.<p>You can install it using Homebrew:<p><pre><code>   brew tap codingmoh&#x2F;open-codex
   brew install open-codex

</code></pre>
It&#x27;s also published on PyPI:<p><pre><code>   pip install open-codex

</code></pre>
Source: <a href=""https:&#x2F;&#x2F;github.com&#x2F;codingmoh&#x2F;open-codex"">https:&#x2F;&#x2F;github.com&#x2F;codingmoh&#x2F;open-codex</a>",codingmoh,106,2025-04-21,https://github.com/codingmoh/open-codex,https://news.ycombinator.com/item?id=43754620,37,13
OpenAI Codex,6,hn_32577624,32577624,Building a back end using only OpenAI Codex,"I&#x27;ve published the sources for the code generation and the code that was generated on GitHub: <a href=""https:&#x2F;&#x2F;github.com&#x2F;sturdy-dev&#x2F;codeball-todo-mvc"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;sturdy-dev&#x2F;codeball-todo-mvc</a><p>I&#x27;ve been experimenting with merging prompts together, with a goal to write the full backend in a single prompt.<p>On the form:<p>&gt; 1. Setup a flask web server<p>&gt; 2. Add a &#x2F;add endpoint<p>It works reasonably well, but it seems like it&#x27;s loosing some precision in the prompts... The person that coined the term &quot;prompt engineering&quot; was right, it&#x27;s really important to learn what words to use to get the AI to do exactly what you want it to do.",zegl,88,2022-08-24,https://codeball.ai/blog/codex-todo-mvc,https://news.ycombinator.com/item?id=32577624,35,12
OpenAI Codex,7,hn_31211280,31211280,Show HN: Balloons – A clicker game generated by OpenAI Codex,,lotsofpizza,69,2022-04-29,https://www.shawnmatthewcrawford.com/balloons-the-balloon-clicker-game.html,https://news.ycombinator.com/item?id=31211280,13,5
OpenAI Codex,8,hn_31405976,31405976,OpenAI Codex Python to C++ Code Generator,,ArdelleF,36,2022-05-17,https://github.com/alxschwrz/codex_py2cpp,https://news.ycombinator.com/item?id=31405976,22,6
OpenAI Codex,9,hn_28126015,28126015,OpenAI Codex,,vincent_s,25,2021-08-10,https://openai.com/,https://news.ycombinator.com/item?id=28126015,12,8
OpenAI Codex,10,hn_47953249,47953249,"OpenAI Codex system prompt includes directive: ""never talk about goblins""",,ndr42,18,2026-04-29,https://arstechnica.com/ai/2026/04/openai-codex-system-prompt-includes-explicit-directive-to-never-talk-about-goblins/,https://news.ycombinator.com/item?id=47953249,0,0
OpenAI Codex,11,hn_45106705,45106705,Finding vulnerabilities in Python web apps using Claude Code and OpenAI Codex,,neuroo,13,2025-09-02,https://semgrep.dev/blog/2025/finding-vulnerabilities-in-modern-web-apps-using-claude-code-and-openai-codex/,https://news.ycombinator.com/item?id=45106705,0,0
OpenAI Codex,12,hn_48140747,48140747,OpenAI's Codex is now in the ChatGPT mobile app,,SpyCoder77,12,2026-05-14,https://www.theverge.com/ai-artificial-intelligence/930763/openai-codex-chatgpt-ios-android-app-preview,https://news.ycombinator.com/item?id=48140747,0,0
OpenAI Codex,13,hn_35708449,35708449,Replit announces open source 2.7B code LLM that beats OpenAI Codex at HumanEval,,swyx,11,2023-04-26,https://twitter.com/swyx/status/1650989632413401089,https://news.ycombinator.com/item?id=35708449,1,1
OpenAI Codex,14,hn_44177525,44177525,Ask HN: How is the latest Open AI Codex?,"Have you had a chance to try out the latest version of Codex? How does it compare with Claude Code, which I am currently using extensively?",raydenvm,10,2025-06-04,,https://news.ycombinator.com/item?id=44177525,3,1
OpenAI Codex,15,hn_28152743,28152743,Creating a Space Game with OpenAI Codex,,burgalon,8,2021-08-12,https://www.youtube.com/watch?v=Zm9B-DvwOgw,https://news.ycombinator.com/item?id=28152743,1,1
OpenAI Codex,16,hn_47937388,47937388,"OpenAI Models, Codex, and Managed Agents Come to AWS",,meetpateltech,8,2026-04-28,https://openai.com/index/openai-on-aws/,https://news.ycombinator.com/item?id=47937388,0,0
OpenAI Codex,17,hn_47942954,47942954,OpenAI Wants Codex to Shut Up About Goblins,,spenvo,7,2026-04-29,https://www.wired.com/story/openai-really-wants-codex-to-shut-up-about-goblins/,https://news.ycombinator.com/item?id=47942954,1,1
OpenAI Codex,18,hn_45044095,45044095,Codex – OpenAI's coding agent – VSCode Extension,,jerezzprime,7,2025-08-27,https://marketplace.visualstudio.com/items?itemName=openai.chatgpt,https://news.ycombinator.com/item?id=45044095,1,1
OpenAI Codex,19,hn_44006398,44006398,OpenAI Codex,,meetpateltech,7,2025-05-16,https://openai.com/codex/,https://news.ycombinator.com/item?id=44006398,1,1
OpenAI Codex,20,hn_28131224,28131224,OpenAI Demoing Codex Live,,orph,7,2021-08-10,https://www.twitch.tv/openai,https://news.ycombinator.com/item?id=28131224,1,1
AI coding assistant,1,hn_46542036,46542036,AI coding assistants are getting worse?,,voxadam,451,2026-01-08,https://spectrum.ieee.org/ai-coding-degrades,https://news.ycombinator.com/item?id=46542036,738,30
AI coding assistant,2,hn_42675725,42675725,Tabby: Self-hosted AI coding assistant,,saikatsg,366,2025-01-12,https://github.com/TabbyML/tabby,https://news.ycombinator.com/item?id=42675725,150,22
AI coding assistant,3,hn_36495680,36495680,Show HN: Superblocks AI – AI coding assistant for internal apps,"I’m Frank, the Head of AI Engineering at Superblocks. We’re a platform for enterprise developers to build and host mission-critical internal apps.<p>Today we launched Superblocks AI and are excited to hear feedback from the HN community!<p>Superblocks AI combines the power of the Superblocks drag-and-drop App Builder with robust AI code generation, code optimization, code explanation, mock data generation, and API call generation across SQL, Python, JavaScript, JSON and HTML.<p>We built Superblocks AI with the intention to streamline some of the repetitive and often confusing aspects of building internal tools, here’s a brief overview:<p>Generate Code: LLMs like ChatGPT have quickly become a critical part of developers&#x27; lives and we wanted to bring that experience natively into our product. The response is streamed for the best UX, similar to Chat-GPT, and can be modified before use.<p>Explain Code: Understanding someone else’s code for large internal engineering teams is often a challenge. Highlight code and Superblocks AI offers an explanation that you then have the ability to add as a comment.<p>Edit Code: You can make alterations to code by highlighting it and choosing prompts like optimize performance, enhance readability, or something custom. We&#x27;ve added an inline code diff view for easy verification of changes.<p>Generate API Calls: You often want to make an API call but need to spend 30 minutes looking up the documentation and crafting the correct call in Postman. We provided a way for you to give a prompt, and Superblocks AI will generate REST and GraphQL queries for APIs like Stripe, Salesforce, your favorite SaaS provider, and more.<p>Generate Mock Data: This enables faster UI development by generating mock data for components like tables, charts, grids etc., which can be especially handy during prototyping.<p>I&#x27;d love to hear feedback from the HN community on how you think this feature should evolve over the next few months!",frankgrecojr,114,2023-06-27,https://www.superblocks.com/blog/introducing-superblocks-ai,https://news.ycombinator.com/item?id=36495680,62,12
AI coding assistant,4,hn_43410866,43410866,Hacking Your Own AI Coding Assistant with Claude Pro and MCP,,zbeegnew,106,2025-03-19,https://www.zbeegnew.dev/tech/build_your_own_ai_coding_assistant_a_cost-effective_alternative_to_cursor/,https://news.ycombinator.com/item?id=43410866,46,15
AI coding assistant,5,hn_43815033,43815033,AI Coding assistants provide little value because a programmer's job is to think,,d0liver,100,2025-04-27,https://www.doliver.org/articles/programming-is-a-thinkers-game,https://news.ycombinator.com/item?id=43815033,200,30
AI coding assistant,6,hn_46089546,46089546,Student perceptions of AI coding assistants in learning,,victorbuilds,98,2025-11-29,https://arxiv.org/abs/2507.22900,https://news.ycombinator.com/item?id=46089546,123,12
AI coding assistant,7,hn_47077676,47077676,Productivity gains from AI coding assistants haven’t budged past 10% – survey,,taubek,76,2026-02-19,https://shiftmag.dev/this-cto-says-93-of-developers-use-ai-but-productivity-is-still-10-8013/,https://news.ycombinator.com/item?id=47077676,92,20
AI coding assistant,8,hn_44493503,44493503,I am uninstalling AI coding assistants from my personal computer,,ssutch3,75,2025-07-07,https://sam.sutch.net/posts/uninstailling-ai-coding-from-personal-computer,https://news.ycombinator.com/item?id=44493503,39,7
AI coding assistant,9,hn_44675557,44675557,Hacker slips malicious 'wiping' command into Amazon's Q AI coding assistant,,CrankyBear,75,2025-07-24,https://www.zdnet.com/article/hacker-slips-malicious-wiping-command-into-amazons-q-ai-coding-assistant-and-devs-are-worried/,https://news.ycombinator.com/item?id=44675557,12,7
AI coding assistant,10,hn_43193018,43193018,Google gifts a Free AI Coding Assistant to the developer community,,sachinjain,41,2025-02-27,https://techcrunch.com/2025/02/25/google-launches-a-free-ai-coding-assistant-with-very-high-usage-caps/,https://news.ycombinator.com/item?id=43193018,67,13
AI coding assistant,11,hn_42239323,42239323,How We Optimize LLM Inference for AI Coding Assistant,,knes,30,2024-11-25,https://www.augmentcode.com/blog/rethinking-llm-inference-why-developer-ai-needs-a-different-approach?,https://news.ycombinator.com/item?id=42239323,5,5
AI coding assistant,12,hn_35574501,35574501,Amazon offers free access to its AI coding assistant to undercut Microsoft,,CharlesW,19,2023-04-14,https://www.theverge.com/2023/4/13/23681796/amazon-ai-coding-assistant-codewhisperer-microsoft,https://news.ycombinator.com/item?id=35574501,6,4
AI coding assistant,13,hn_45525363,45525363,"Show HN: SHAI – a (yet another) open-source, terminal-native AI coding assistant","Since I mostly work within the terminal, I wanted an AI coding assistant that integrates seamlessly with it. Something I could call from SSH, integrate into scripts or just invoke quickly without leaving the shell. Most existing tools (at the time) were either closed, required various dependencies, or tied to a specific vendor. I wanted a free, open-source alternative that:<p>- installs with a single binary (useful on bare servers)<p>- talks to any LLM endpoint and especially self-hosted open weight model<p>- could run headless, composable, and Unix-like<p>SHAI stands for SHell AI! Along the way I couldn’t find a `lite-llm` equivalent for Rust, so I built the crate `shai-llm`. I tried to make it as modular as possible so new tools can be added, UIs swapped, or an API layered on top. It was also my first major project in rust, I hope you&#x27;ll like it :)<p>Key features:<p>- Open-source and LLM-agnostic: connect to any OpenAI-compatible endpoint<p>- Works out of the box using OVHcloud AI Endpoints (unauthenticated, strongly rate-limited)<p>- Function calling and MCP support (with OAuth)<p>- Custom Agent Configuration (model, system prompt, tool set)<p>SHAI is still evolving, but it&#x27;s part of Hacktoberfest so contributions and feedback are most welcome.",Marlinski,16,2025-10-09,https://github.com/ovh/shai,https://news.ycombinator.com/item?id=45525363,0,0
AI coding assistant,14,hn_45168846,45168846,"Show HN: DevSwarm, run multiple AI coding assistants in parallel","We wanted to run multiple AI coding assistants in parallel and swap models easily (Claude Code, local, Codex, etc.) without messing with the current branch.<p>DevSwarm is a mac&#x2F;windows desktop app that runs assistants on separate git branches so you can stay in the loop and compare&#x2F;merge safely. Not an IDE, an Augmented Development Environment (ADE); open any branch in your IDE with a click.
We’ve been dogfooding it for months, including DevSwarm. Try it in minutes: download, open a repo, start two assistants. Free beta.",mikebiglan,15,2025-09-08,https://devswarm.ai/,https://news.ycombinator.com/item?id=45168846,1,1
