videoId,title,channelTitle,collectedCommentCount,uniqueCommenters,averageCommentLength,viewCount,likeCount
RKbmqSRc0z0,Best AI Coding Tools for Developers in 2026 (Don&#39;t Choose Wrong),Mikey No Code,61,60,103.78688524590164,85870,0
SJqGYwRq0uc,How to use GitHub Copilot (the complete beginner&#39;s guide),GitHub,36,33,84.22222222222223,147391,1751
TANCHT6uht0,Are Programmers Obsolete?  Will AI Replace Them?,Dave's Garage,221,207,256.41628959276017,223106,13076
TKal4pZHr0U,End of Vibe Coding? Github Copilot Changes,Telusko,203,175,133.7192118226601,116909,2077
TdNEgWn0ONg,AI Was Supposed to Replace Developers. Here’s What Actually Happened.,Web Developete,276,238,301.93840579710144,104229,4925
Tw18-4U7mts,The &quot;vibe coding&quot; mind virus explained…,Fireship,219,217,80.39269406392694,1881987,66266
Uc18mso08Ro,I Accidentally Turned Claude Into a Hacker...,NetworkChuck,208,206,94.91826923076923,1393499,47724
UxbULt_hCdA,Introducing Cursor 3,Cursor,185,145,124.75135135135135,3061135,1868
Wl5NJVieiBM,Github Copilot vs Cursor: which AI coding assistant is better?,Steve (Builder.io),160,148,122.15625,228915,2560
XASPkhYLtnk,Claude Code: Build Your First AI Agent Better Than 99% of People,Mikey No Code,31,21,82.96774193548387,57619,0
XDNXLdwq114,Why AI WON&#39;T Replace Software Engineering...,Modern Software Engineering,248,177,312.40725806451616,47499,2104
X_Aet9ndh_Y,Get started with Copilot Free in VS Code,Visual Studio Code,190,165,69.20526315789473,359049,5998
XffC4K3mL5c,"AI Fundamentals: Privacy, Hallucinations, Agents, and Open Source Explained",Harper Carroll AI,253,208,205.66403162055337,148707,8372
Xn-gtHDsaPY,7 new open source AI tools you need right now…,Fireship,207,199,130.52173913043478,834640,37087
Y68FF_nUSWE,What Is Vibe Coding? Building Software with Agentic AI,IBM Technology,71,65,138.67605633802816,46342,1477
YESrXVkcCHY,The Best AI Coding Tools for Developers in 2025 (That I Actually Use),Tech With Tim,211,211,68.72985781990522,177945,3457
Z6BYhJl9hV8,How I Code with GitHub Copilot in Visual Studio 2022 to Boost Productivity Everyday,James Montemagno,85,64,140.36470588235295,217358,3844
ZkGzEMDeJos,OpenAI Codex Explained for Normal People (“Claude Cowork Killer”),Paul J Lipsky,357,179,86.49579831932773,123317,3511
a-c1M8QwK84,How Copilot auto mode selects the best AI model | GitHub Checkout,GitHub,13,8,181.15384615384616,1400,62
a1BR6K3E4zs,When to use GitHub Copilot coding agent versus agent mode,GitHub,19,19,118.42105263157895,54483,437
aEjoKWvaSX8,7 Ways to Use Claude Code for General Productivity,Automata Learning Lab,5,4,223.4,40886,79
aefn-HldCi4,Can AI replace programmers in 5 years?,Bhuva's Impact Global,327,267,121.15290519877676,317707,2249
ap_aTqpL3Ik,"🚀GitHub Copilot in Action: Code Smarter &amp; Faster in IntelliJ (Setup, Chat, Agent &amp; More!)🤖",CodeSnippet,27,19,75.81481481481481,18463,367
bcFTdbvYEi0,Vibe-coding 101 (beginner friendly) 🍥🫶,meshtimes,118,98,110.60169491525424,246478,7353
cgD-bTTe20I,Stop Vibe Coding!! #ai #vibecoding,Builders Central,219,214,105.18264840182648,809815,26301
cyPaAkRfEBQ,GitHub Copilot code review | New feature announcement,GitHub,26,22,82.61538461538461,55224,539
dgiBc4-LSrM,How To Use OpenAI Codex For Beginners,corbin,79,66,106.9746835443038,136186,1556
eMZmDH3T2bY,Claude Code Tutorial for Beginners,Kevin Stratvert,284,254,104.65492957746478,835828,10869
eaRGX9wVlU0,Will AI Replace Programmers? Google&#39;s CEO Weighs In,Grind Don't Sleep,125,103,185.392,171046,3255
exjhaHmZk8g,99% of Developers Don&#39;t Understand AI Agents!,CodeHead,28,25,100.35714285714286,14357,756
fP5URbP30j0,&quot;AI Can’t Replace Juniors&quot; - AWS CEO,The PrimeTime,211,202,196.25118483412322,503736,17730
fQeybL6w-Wo,The next two years of software dev...,Awesome,286,251,212.1818181818182,175548,6024
h0AT3GagswQ,"Yes, GitHub Copilot knows about your whole codebase",Burke Holland,13,11,231.30769230769232,15758,211
h0hdaHPKDdI,What 6 months of AI coding did to my dev team,Axel Molist,257,194,306.0544747081712,363180,14601
hDOUzlJwM1E,How I Vibe Coded a $400K/mo App with Claude Code (Full Tutorial),Jason Lee,103,95,127.83495145631068,189494,6019
howz8BKRUQM,AI is writing 90% of your code?,ForrestKnight,237,179,157.9704641350211,224548,1942
iLCDSY2XX7E,Vibe Coding Fundamentals In 33 minutes,Tina Huang,212,201,98.19339622641509,913604,27777
iRJZIdiu_yM,Stop using switching between chatgpt and vscode using this ai tool #code #ai #chatgpt #vscode,Sanjay Deoram,35,29,80.91428571428571,409688,3063
i_yXrxUwbdE,I spent 2 weeks using Claude Code so you don&#39;t have to (No Coding Needed),Ruri Ohama,156,129,143.48076923076923,44628,2135
ikIosF_iiz4,"What&#39;s new with GitHub Copilot code review (CodeQL, agents &amp; more)",GitHub,5,5,14.4,13310,181
j7d5rs0iMlE,OpenAI Codex Full Course 4 Hours: Build &amp; Ship,Aniket Panjwani,87,45,87.85057471264368,29659,1013
jXp5D5ZnxGM,Get to know GitHub Copilot in VS Code and be productive IMMEDIATELY,Visual Studio Code,164,146,102.9939024390244,739081,9142
jsy3m7Emkr0,How to Setup AI Agent Skills for Better Code | TRAE SOLO,Tech With Tim,20,16,91.0,56575,402
k_D_C3ExypU,Build Your Own Claude Code | Full AI Coding Agent Tutorial,Code With Antonio,194,152,67.18556701030928,31472,2072
l30Eb76Tk5s,Cursor 2.0 - Full Tutorial for Beginners,Tech With Tim,106,97,94.62264150943396,216164,4178
mViFYTwWvcM,Spec-Driven Development: AI Assisted Coding Explained,IBM Technology,222,219,150.11261261261262,297631,9185
mZzhfPle9QU,How I use Claude Code (Meta Staff Engineer Tips),John Kim,253,204,100.52569169960475,429214,9962
mi4hcipESKQ,Turn Claude Code Into Your Executive Assistant in 27 Mins,Nate Herk | AI Automation,251,186,155.49003984063745,164054,3402
mjJ7dILxki8,Best AI coding assistant right now,Andrew Codesmith,41,37,55.24390243902439,93867,1193
n0NlxUyA7FI,Getting started with GitHub Copilot | Tutorial,GitHub,69,58,75.71014492753623,205380,2412
nUxuCoqJzlA,Codex is the future of Agentic Engineering… just watch,David Ondrej,48,40,178.89583333333334,21387,438
nWcEjZYeeVo,4 Cursor Productivity Tips!! #cursor #ai #productivity #tips #coding,Jessica Wang,200,200,61.955,257701,5976
ntDIxaeo3Wg,Claude Code - Full Tutorial for Beginners,Tech With Tim,210,205,114.66666666666667,1030512,19317
oDOaTakbKNI,Will AI Replace Software Engineers?  Should You Still Learn Computer Science?  ShopTalk!,Dave's Attic,255,186,221.4470588235294,17512,1198
ocMOZpuAMw4,Cursor Tutorial for Beginners (AI Code Editor),Tech With Tim,249,234,103.93172690763052,993362,14230
ocQ7ZKhHU5Q,Claude Code on your Phone is OFFICIAL (it changes  everything),NetworkChuck,208,204,129.24519230769232,298376,9237
onVn-lnHZ9s,Demo: end-to-end agentic development with GitHub Copilot,GitHub,35,35,45.142857142857146,69490,560
pR7FfNWjEe8,How to Secure AI Business Models,IBM Technology,52,41,83.11538461538461,103215,2313
pvMGRSZJ4Jw,Best AI Coding Tools for Developers in 2026,Codevolution,40,38,136.675,82124,1558
qYqIhX9hTQk,FULL Claude Code Tutorial for Beginners in 2026! (Step-By-Step),Tech With Tim,217,183,97.75115207373273,308999,4511
qbV1kQgT4ck,Claude Code VS OpenAI Codex: Which Coding Agent is Worth Your Money?,AI Stack Engineer,3,3,166.66666666666666,1066,16
ql56K3sveqo,What it&#39;s like to Vibe Code,Alberta Tech,204,200,95.26470588235294,5132911,148675
rp5EwOogWEw,The Ultimate Local AI Coding Guide For 2026,Zen van Riel,316,237,191.8259493670886,267264,7074
rriStH1eTH0,AI Platforms That Respect Privacy,Naomi Brockwell TV,273,211,156.6117216117216,81602,4075
rwxRoYzwkyM,Cursor AI Tutorial - My Personal Tips &amp; Tricks (AI Code Editor),CodeWithHarry,219,211,89.75342465753425,871364,22803
saggDHHnmtQ,Master 95% of Claude Code in 36 Mins (as a beginner),Nate Herk | AI Automation,252,216,106.9047619047619,349063,7949
sd21Igx4HtA,OpenAI Codex in your code editor,OpenAI,217,207,95.11059907834101,243418,4626
sqj2ATbL7x8,Best AI Coding Tool in 2025? (Cursor vs Claude Code),aiwithbrandon,67,55,203.40298507462686,30132,587
syrDx15PHCs,How to Vibe Code in 2026 (Full Beginners Tutorial),Tech With Lucy,74,60,97.91891891891892,70852,3958
t2G0L0cqktw,Codex is INSANE - Everything New in 10 Minutes,Tech With Tim,70,66,82.68571428571428,50052,1033
tbDDYKRFjhk,"Does AI Actually Boost Developer Productivity? (100k Devs Study) - Yegor Denisov-Blanch, Stanford",AI Engineer,209,194,293.6507177033493,300778,6819
tcZ1BR6WXN8,Why I QUIT VS Code for Cursor AI (Honest Review + Beginner Tutorial),Internet Made Coder,284,236,142.07394366197184,380333,4263
u3wPImWBz7c,I Finally Tried The AI-Powered VS Code Killer | Cursor IDE Review,Your Average Tech Bro,188,153,143.54255319148936,149030,2054
uMJErixE9uI,"AI Privacy Guide: What Claude, ChatGPT &amp; Perplexity Actually Remember | Security Tips for Creators",Pretty Fabulous Designs,7,6,236.57142857142858,4388,64
uogzSxOw4LU,"The Ultimate Claude Code Guide | MCP, Skills &amp; More",Tech With Tim,70,63,96.45714285714286,157528,2748
uwA3MMYBfAQ,AI Coding 101: Ultimate Prompt Guide (37 tips),Volo Builds,129,74,96.55038759689923,87378,2740
v3tLa5nHz-M,AI Replacing Developers Has Officially Failed,Sajjaad Khader,210,198,232.06666666666666,463334,13369
w4rG5GY9IlA,Learning Software Engineering During the Era of AI | Raymond Fu | TEDxCSTU,TEDx Talks,208,201,85.91826923076923,742286,23755
wBgNflnfIEA,How to Use GitHub Copilot Agent Mode - Visual Studio 2026 | Tips &amp; Tutorial,Codeless Developer,6,6,204.83333333333334,9330,114
wlpBCazAY9Q,"AI-Assisted Coding Tutorial – OpenClaw, GitHub Copilot, Claude Code, CodeRabbit, Gemini CLI",freeCodeCamp.org,130,119,95.13846153846154,169480,4977
xE8HAXrYE3o,GitHub Copilot Transforms  AI Coding Agent is HERE!,AI Angle,23,21,152.8695652173913,153501,1235
xHnlzAPD9QI,Automate tasks with the Codex app,OpenAI,187,153,88.17647058823529,101356,1656
xYU7zaaRjmE,The Vibe Coding Era: Why AI Won’t Replace Software Engineers,Bloomberg Television,240,217,243.54583333333332,372493,6367
xf65vxjNWdk,Using GitHub Copilot for code reviews: from VS Code to github.com,GitHub,95,91,62.05263157894737,70360,595
xyi3tTAS2QA,10 GitHub Copilot Tricks Most Developers Don&#39;t Know (2026),TechWhistle,9,7,66.88888888888889,7867,117
yFU003t-cTg,"50+ Best AI Tools for Productivity in 2025 (ChatGPT, Canva, Notion &amp; More!)",Pynade Devs,220,198,48.595454545454544,975430,16860
yP1Hi_uWLQw,"GitHub Copilot for IntelliJ IDEA: Complete Tutorial (2025) - Master AI Coding, Chat, and Agent Mode",RoboticQA Academy,12,8,53.25,15244,137
ya6520zh4pQ,Vibe Coding is a Trap (What Senior Devs See That You Don&#39;t),DevForge,252,232,225.42857142857142,329401,17127
yn1QKuCQXO8,Why Real Programmers LAUGH About No Code Tools &amp; AI,Philipp Lackner,285,228,176.7824561403509,472336,10041
z4Jv2PE0wkU,What is “Vibe Coding”!? 💻 #software #chatgpt #technology #programming #tech #code,Coding with Lewis,238,222,136.45378151260505,212924,0
zmuVrC3tgmQ,3 AI tools for programmers,Sahil & Sarra,86,79,48.68604651162791,317738,22294
